rainfall,temperature,humidity,soil_moisture,wind_speed,drought
83,23.45,73,50,11,0
150,22.19,32,19,23,0
3,38.21,30,37,27,1
107,23.29,48,56,18,0
47,42.69,87,34,23,0
91,31.79,90,7,32,0
145,32.04,83,13,10,0
121,43.77,75,38,24,0
46,39.13,49,35,12,0
66,34.19,49,23,33,0
155,32.77,92,6,25,0
167,38.06,46,47,14,0
11,24.62,45,41,33,0
19,30.27,22,50,29,0
173,36.94,94,51,7,0
144,19.11,72,6,23,0
70,44.18,50,28,32,0
16,22.58,92,27,17,0
169,36.46,85,41,22,0
60,24.39,21,52,20,0
71,38.21,15,29,11,0
164,19.3,77,49,25,0
95,33.52,24,42,8,0
34,20.38,44,54,10,0
5,42.67,29,45,35,1
60,42.74,43,27,30,0
99,34.78,31,34,29,0
52,41.19,100,14,28,0
5,21.97,32,56,8,0
124,28.41,36,51,23,0
153,28.53,84,50,34,0
133,32.32,49,13,19,0
55,18.19,52,53,12,0
110,27.3,97,39,10,0
27,40.11,73,40,7,0
180,38.96,53,21,24,0
101,35.48,56,42,16,0
93,20.76,79,42,3,0
171,38.34,34,35,10,0
11,20.94,21,33,8,0
68,33.85,37,27,23,0
77,37.53,100,31,29,0
160,20.54,30,21,19,0
47,40.64,59,32,35,0
14,38.43,89,5,15,1
173,38.29,94,16,35,0
132,35.08,49,39,13,0
117,38.16,50,26,32,0
179,40.27,33,43,6,0
2,28.58,64,53,15,0
33,26.61,31,16,10,1
101,23.52,73,59,6,0
77,39.17,32,41,31,0
107,39.11,98,38,9,0
72,42.06,86,6,2,0
89,43.08,42,8,16,0
194,26.36,99,18,33,0
32,41.31,39,48,27,0
69,19.22,55,48,1,0
16,29.11,21,23,18,1
165,35.94,25,49,15,0
41,26.24,22,34,0,0
52,30.31,63,20,11,0
163,31.82,19,21,31,0
92,38.54,59,43,2,0
112,42.9,84,38,25,0
163,33.38,79,35,3,0
92,30.28,64,56,33,0
192,44.27,22,41,21,0
45,27.61,32,59,28,0
45,34.23,60,18,3,0
135,31.53,87,12,19,0
106,30.9,57,20,34,0
121,27.75,49,46,13,0
20,24.14,85,38,31,0
38,27.47,25,8,13,1
77,36.04,29,57,34,0
169,18.46,74,21,15,0
82,22.23,72,58,9,0
33,36.69,58,54,27,0
51,33.34,87,8,8,0
17,41.91,76,10,32,1
110,30.5,33,56,21,0
18,22.76,24,59,28,0
138,30.85,48,31,3,0
121,27.9,91,51,33,0
140,44.12,29,44,35,0
147,43.77,65,5,30,0
29,22.75,55,13,12,0
69,23.2,26,58,13,0
14,35.11,97,58,35,0
90,34.13,72,59,10,0
109,31.93,42,33,4,0
80,18.58,48,52,16,0
175,21.16,81,41,31,0
60,43.33,83,24,6,0
11,36.56,94,20,23,1
106,26.74,56,32,33,0
150,35.66,53,58,25,0
173,30.9,42,19,31,0
195,38.9,40,10,7,0
106,28.12,90,44,7,0
34,28.94,46,52,28,0
87,37.62,44,28,10,0
195,25.3,27,46,23,0
59,37.16,99,47,0,0
63,43.67,99,8,9,0
189,21.94,56,60,29,0
143,43.48,43,15,21,0
126,22.51,57,54,30,0
67,33.98,46,5,21,0
106,44.76,80,40,22,0
0,19.39,94,46,4,0
117,44.01,26,44,14,0
191,41.0,48,38,34,0
14,34.63,54,48,2,0
43,22.41,65,26,4,0
16,22.99,47,28,35,0
22,42.18,19,32,29,1
43,23.67,73,41,18,0
55,22.34,16,36,8,0
177,34.6,71,30,9,0
34,31.47,50,43,5,0
88,22.94,91,44,11,0
188,35.3,28,54,14,0
119,44.58,53,7,1,0
148,31.09,61,29,23,0
41,35.38,20,48,11,1
30,41.05,62,50,19,0
33,40.23,70,47,26,0
43,27.2,62,43,5,0
54,36.26,86,50,12,0
152,22.47,38,47,19,0
42,41.88,72,34,4,0
85,36.36,75,45,20,0
18,21.5,25,40,26,0
45,37.04,57,53,30,0
115,43.12,78,6,10,0
99,28.7,49,29,24,0
105,26.67,83,47,19,0
103,19.23,27,37,23,0
167,24.03,60,42,14,0
157,44.22,87,35,28,0
95,20.7,88,44,34,0
94,32.78,81,35,9,0
61,21.26,33,54,11,0
70,37.97,93,50,17,0
60,32.52,21,43,26,0
182,28.52,55,39,4,0
197,44.26,65,29,20,0
55,23.56,52,41,11,0
180,42.08,66,13,1,0
147,34.86,60,22,22,0
112,25.93,29,35,29,0
79,27.63,54,21,23,0
63,23.48,62,54,29,0
129,42.49,93,20,30,0
192,36.36,77,49,31,0
133,44.25,44,30,14,0
3,38.2,31,24,0,1
157,39.29,94,42,4,0
45,25.59,71,56,26,0
61,39.93,85,24,0,0
72,39.01,86,24,8,0
117,35.56,20,6,34,1
41,38.79,86,21,13,1
4,32.71,33,37,30,0
116,20.52,30,23,0,0
90,32.78,55,6,5,0
4,30.43,58,57,24,0
93,35.39,88,16,13,0
164,28.16,62,55,32,0
11,41.84,79,10,31,1
106,29.79,86,45,24,0
156,36.64,37,27,9,0
55,23.77,63,32,5,0
97,24.99,87,21,9,0
52,27.44,44,17,24,0
27,39.82,47,16,24,1
49,42.0,42,9,31,1
195,18.65,59,39,3,0
2,37.37,69,14,21,1
115,27.94,71,52,20,0
116,27.72,46,37,16,0
44,37.52,96,29,23,0
126,41.06,98,45,7,0
184,34.29,98,47,1,0
122,44.32,90,54,6,0
105,43.63,83,18,8,0
176,27.7,96,10,14,0
93,20.69,78,11,7,0
175,37.6,47,39,29,0
69,38.42,28,17,14,1
166,44.55,91,21,29,0
41,43.01,17,55,11,1
79,32.94,39,6,26,0
15,20.87,53,28,6,0
2,39.1,93,20,16,1
50,32.43,80,10,23,0
85,22.14,51,13,2,0
72,35.35,29,27,10,0
90,39.76,65,15,3,0
161,39.02,86,48,12,0
17,32.4,56,50,32,0
86,26.26,69,46,8,0
85,25.6,20,30,12,0
30,32.55,84,34,35,0
64,32.47,18,23,14,0
91,32.94,95,45,3,0
86,24.32,98,54,32,0
146,24.25,72,31,17,0
84,18.12,96,37,5,0
52,22.35,88,44,19,0
157,26.85,29,54,27,0
113,44.85,75,53,10,0
122,32.08,87,9,9,0
174,33.55,32,12,13,0
12,29.85,81,51,28,0
39,40.51,40,32,25,0
118,43.98,67,41,24,0
29,38.86,72,54,21,0
65,26.71,51,29,16,0
158,30.73,38,23,34,0
25,21.88,34,52,7,0
48,20.66,35,36,15,0
82,43.79,31,42,5,0
68,34.22,89,12,22,0
48,22.82,48,14,15,0
162,36.51,16,42,9,0
166,42.53,17,45,18,0
130,33.56,28,54,9,0
84,43.07,55,16,19,0
131,34.93,23,40,2,0
104,34.82,16,21,2,0
65,39.56,89,43,30,0
158,24.0,81,31,6,0
73,25.37,88,44,21,0
78,35.56,96,28,29,0
137,30.41,37,18,12,0
23,27.33,75,45,24,0
99,31.66,23,28,26,0
87,39.92,44,19,18,0
41,37.59,43,17,6,1
17,24.75,55,36,10,0
96,39.32,23,48,24,0
135,29.84,48,43,9,0
74,22.13,61,46,30,0
152,33.93,56,11,28,0
18,42.15,30,27,32,1
119,33.35,74,46,20,0
111,31.34,19,51,11,0
74,25.3,46,57,11,0
78,35.19,56,44,9,0
16,44.45,68,12,7,1
68,24.9,91,19,9,0
18,37.2,78,51,35,0
22,18.56,93,17,15,0
52,29.72,50,44,12,0
8,33.56,73,57,9,0
144,38.21,83,49,35,0
102,39.27,76,47,0,0
95,34.09,77,5,18,0
106,26.65,37,11,24,0
20,21.64,87,18,27,0
136,31.94,15,56,3,0
165,30.26,26,43,16,0
8,25.25,32,9,12,1
35,44.17,89,37,15,0
192,20.08,56,24,19,0
138,20.09,49,16,17,0
173,20.7,55,56,10,0
3,19.54,71,38,23,0
30,36.36,68,53,17,0
46,21.34,34,50,23,0
102,41.94,45,43,8,0
174,35.57,63,39,35,0
6,18.25,83,48,32,0
85,34.14,64,7,15,0
105,27.58,34,53,5,0
166,31.55,47,30,2,0
87,21.98,71,33,23,0
100,24.91,87,44,34,0
53,38.45,30,55,21,0
167,19.46,44,51,25,0
3,21.25,72,59,35,0
77,29.91,28,15,30,0
105,38.65,83,11,34,0
80,32.86,85,29,27,0
3,25.52,97,33,13,0
173,21.98,48,13,25,0
123,38.96,15,26,32,0
95,23.41,87,57,4,0
53,41.72,21,46,12,0
152,31.06,15,40,9,0
49,28.95,35,48,13,0
0,27.2,78,57,34,0
94,27.03,38,47,17,0
174,28.17,97,36,13,0
15,24.82,65,40,6,0
175,42.24,81,59,33,0
18,33.15,80,7,35,0
132,34.44,94,38,3,0
140,42.77,47,49,8,0
0,34.13,44,14,5,0
145,27.66,35,16,34,0
104,20.69,85,37,17,0
167,33.03,71,12,0,0
124,35.25,87,28,28,0
177,24.87,94,51,28,0
163,37.79,37,22,9,0
168,21.13,47,54,23,0
37,43.12,83,37,33,0
188,39.2,52,22,10,0
92,27.12,84,41,1,0
105,30.37,51,45,18,0
188,28.49,85,16,8,0
101,20.94,32,45,8,0
149,24.84,32,37,22,0
192,28.95,41,12,17,0
186,28.74,15,13,13,0
42,43.24,17,30,10,1
80,18.6,54,49,18,0
131,37.29,26,14,9,1
7,19.78,73,40,15,0
3,39.72,26,15,30,1
24,29.15,65,49,0,0
142,18.69,64,47,30,0
81,20.93,50,50,21,0
55,33.73,88,47,29,0
49,30.74,41,39,31,0
113,38.14,85,14,27,0
18,32.35,34,51,7,0
141,21.41,77,57,23,0
32,39.21,38,49,27,0
77,27.2,96,18,16,0
140,43.77,40,45,16,0
73,29.14,52,16,29,0
10,29.15,35,15,33,0
147,43.23,91,45,31,0
20,28.63,59,16,7,0
143,33.59,28,12,18,0
48,21.44,64,29,8,0
42,27.42,25,48,25,0
163,28.62,86,59,7,0
79,36.07,84,31,24,0
130,26.33,22,16,7,0
42,22.2,98,36,11,0
81,34.49,85,12,11,0
125,27.65,64,23,33,0
118,38.34,96,55,3,0
42,42.86,36,22,14,1
5,27.19,51,9,27,0
86,18.42,50,38,18,0
124,31.03,90,43,25,0
48,29.81,62,29,21,0
85,29.35,65,9,24,0
125,34.01,38,37,25,0
41,25.01,97,6,25,0
181,19.47,86,31,28,0
132,19.61,75,10,35,0
122,44.65,51,16,4,0
179,43.02,40,59,26,0
134,43.98,75,7,31,0
68,21.64,69,24,23,0
178,33.08,89,30,12,0
59,31.92,15,31,18,0
123,26.76,61,50,18,0
16,41.17,23,54,12,1
187,30.17,54,30,32,0
161,29.02,64,16,32,0
109,18.31,90,30,0,0
167,22.6,90,18,17,0
178,18.23,18,52,25,0
182,18.85,74,7,26,0
51,35.3,31,53,30,0
178,24.22,84,47,19,0
182,18.66,68,21,20,0
112,37.73,25,7,24,1
110,32.32,95,17,26,0
197,24.7,58,46,19,0
45,23.0,15,30,7,0
45,35.12,58,26,8,0
141,29.32,79,59,10,0
142,19.67,26,29,27,0
53,42.34,48,50,28,0
112,28.79,41,37,13,0
191,33.55,87,37,10,0
0,42.15,16,48,14,1
132,44.43,19,5,12,1
112,39.02,91,9,8,0
175,19.54,85,30,4,0
47,39.32,95,35,7,0
65,32.73,73,7,2,0
115,25.01,57,54,30,0
135,29.27,53,27,29,0
88,37.8,99,33,34,0
161,29.45,26,19,27,0
83,36.27,51,29,16,0
156,31.68,72,29,28,0
165,43.88,78,5,12,0
182,30.7,51,33,14,0
34,43.38,84,44,35,0
3,43.05,33,56,31,1
171,20.81,69,40,10,0
123,22.01,51,22,16,0
164,33.18,21,20,8,0
94,18.16,61,29,28,0
66,36.38,86,40,2,0
78,28.89,96,30,27,0
120,23.13,72,20,23,0
54,42.38,50,40,10,0
71,18.93,100,37,21,0
138,23.13,83,38,33,0
123,23.63,42,49,1,0
21,26.08,17,14,33,1
118,18.37,22,45,21,0
111,42.79,87,46,9,0
102,32.0,24,17,1,0
60,36.43,39,28,25,0
83,37.82,51,27,19,0
107,35.19,29,20,6,1
43,37.96,40,30,3,0
17,38.94,82,56,6,0
187,26.67,97,29,4,0
185,43.74,97,54,35,0
107,31.61,94,19,31,0
132,23.69,70,14,12,0
77,40.78,61,48,19,0
67,36.25,35,49,22,0
184,32.11,76,40,15,0
103,27.75,27,15,6,0
171,29.95,43,19,15,0
160,37.64,33,50,25,0
165,27.89,59,22,4,0
50,31.0,26,56,17,0
27,25.68,76,54,13,0
19,42.96,81,17,22,1
148,18.84,21,53,0,0
96,40.44,95,40,29,0
102,42.28,46,59,15,0
128,38.34,23,53,14,0
189,29.66,21,40,23,0
95,22.95,78,45,31,0
175,39.82,81,41,8,0
80,22.94,26,49,17,0
45,44.09,55,39,14,0
108,25.73,30,45,4,0
196,31.69,63,15,35,0
20,40.7,52,34,6,0
134,42.22,23,11,22,1
18,41.38,79,29,19,0
105,19.41,25,12,22,0
51,18.94,22,8,30,0
122,35.25,52,21,10,0
72,44.41,53,13,17,0
106,26.65,79,57,30,0
199,36.17,56,54,30,0
136,19.19,81,58,6,0
141,29.95,48,15,6,0
70,37.33,98,15,31,0
178,22.57,27,8,9,0
102,18.84,77,31,21,0
126,19.51,15,8,17,0
188,28.44,19,54,9,0
95,35.42,40,51,20,0
116,30.69,72,53,24,0
75,32.75,67,57,30,0
163,23.33,94,50,3,0
98,37.76,70,34,1,0
46,38.53,37,34,31,0
41,25.58,37,41,33,0
75,43.72,78,33,17,0
10,35.84,60,51,10,0
129,43.3,87,16,15,0
64,26.94,91,15,15,0
80,21.5,65,55,5,0
57,24.64,22,54,32,0
152,21.36,62,48,18,0
119,41.35,67,28,34,0
99,41.45,27,33,10,0
98,24.21,43,47,9,0
165,32.94,29,18,28,0
99,22.45,31,5,1,0
128,24.58,58,29,26,0
